omega,scenario,valid_HR@5,valid_NDCG@5,valid_Precision@5,valid_MAP@5,valid_HR@10,valid_NDCG@10,valid_Precision@10,valid_MAP@10,valid_HR@15,valid_NDCG@15,valid_Precision@15,valid_MAP@15,valid_HR@20,valid_NDCG@20,valid_Precision@20,valid_MAP@20,test_HR@5,test_NDCG@5,test_Precision@5,test_MAP@5,test_HR@10,test_NDCG@10,test_Precision@10,test_MAP@10,test_HR@15,test_NDCG@15,test_Precision@15,test_MAP@15,test_HR@20,test_NDCG@20,test_Precision@20,test_MAP@20
0.01,BaseCase,0.029045116408967425,0.019420189527748745,0.0058090232817933725,0.01626551907989948,0.042679056541498464,0.02381467322530111,0.0042679056541497125,0.018070914946153017,0.05313936070276995,0.02657206525396183,0.0035426240468512593,0.018885818426910762,0.06156853784243532,0.02856017120580141,0.0030784268921216456,0.019357517895501483,0.023281793485160077,0.015838389249500043,0.004656358697031968,0.013400783676509119,0.03457993754284409,0.019463155046856837,0.003457993754284321,0.01487964766394197,0.04288216924365908,0.02165541555866734,0.0028588112829105727,0.015529481914964446,0.04986416838043009,0.023305125868655803,0.002493208419021417,0.01592236407416423
0.01,RegWeightOnly,0.04247594383933785,0.02827071371767424,0.008495188767867305,0.02361565998933676,0.06578312641226801,0.03574168088466399,0.006578312641226557,0.02666047656526756,0.08218447711173738,0.04007904999745247,0.005478965140782311,0.027949733258591663,0.09685936984284155,0.0435441333348304,0.004842968492142309,0.028773758831822194,0.033995988524132326,0.022556570729395025,0.006799197704826297,0.018816276097866572,0.05207301901642674,0.028377632701612965,0.005207301901642487,0.021204593329279202,0.06573234823672786,0.03198359157896901,0.004382156549115072,0.022272981445424337,0.07713204864549217,0.03467430762904722,0.0038566024322746156,0.022912354135302203
0.01,UIGraphOnly,0.0419935511717064,0.027828246738107867,0.00839871023434102,0.02318362234578261,0.06631629725543961,0.035655136669892194,0.00663162972554373,0.02639107013392947,0.08342854241247112,0.040172089786044606,0.005561902827497889,0.027729045468401225,0.09764643156371391,0.04352920111936922,0.004882321578185936,0.028527341336585098,0.03562089014141722,0.02334169151799505,0.007124178028283257,0.0193261736105823,0.05496737502221545,0.02957079220011319,0.005496737502221342,0.021880446815704693,0.07004849315764085,0.03355331620329036,0.004669899543842588,0.02306106814256728,0.08134663721532485,0.036222470871020825,0.004067331860766298,0.023696539236217368
0.01,RegWeightOn_mmImage0,0.0418919948206261,0.027464554116266512,0.00837839896412496,0.022753700459542666,0.06588468276334832,0.035174911458061155,0.00658846827633459,0.0259070150855512,0.08271764795490898,0.03961994357663621,0.005514509863660416,0.027224735795457297,0.0961484753852794,0.04279330360820474,0.004807423769264194,0.02798033528802124,0.03463071571838424,0.023184815396916976,0.006926143143676672,0.019430692021902424,0.055094320461065834,0.02975821609896046,0.005509432046106379,0.022118006061946985,0.06915987508568817,0.03348247221697976,0.0046106583390457465,0.023227536252138418,0.08017873917790133,0.03608401262413924,0.0040089369588951086,0.023846010434514744
0.01,RegWeightOn_mmImage1,0.042450554751567775,0.02774319577032137,0.00849011095031329,0.022939887103189924,0.06507223195470586,0.03499738939106903,0.006507223195470327,0.025897554627846434,0.08218447711173738,0.03951851283703156,0.005478965140782311,0.0272389122149197,0.09630080991189986,0.042853931851389686,0.004815040495595219,0.028033186943312416,0.035519333790336914,0.02304093580528994,0.007103866758067197,0.01895126141451082,0.055221265899916216,0.02937504871512874,0.005522126589991416,0.021543749226741116,0.06954071140223932,0.0331596651151838,0.004636047426815821,0.022667287801723182,0.08111813542539417,0.03588743973527784,0.004055906771269761,0.02331297119085522
