omega,valid_HR@5,valid_NDCG@5,valid_Precision@5,valid_MAP@5,valid_HR@10,valid_NDCG@10,valid_Precision@10,valid_MAP@10,valid_HR@15,valid_NDCG@15,valid_Precision@15,valid_MAP@15,valid_HR@20,valid_NDCG@20,valid_Precision@20,valid_MAP@20,test_HR@5,test_NDCG@5,test_Precision@5,test_MAP@5,test_HR@10,test_NDCG@10,test_Precision@10,test_MAP@10,test_HR@15,test_NDCG@15,test_Precision@15,test_MAP@15,test_HR@20,test_NDCG@20,test_Precision@20,test_MAP@20
0.001,0.04120648945083403,0.02679399214581629,0.008241297890166555,0.022077081270470138,0.06189859598344632,0.033423103911675904,0.006189859598344389,0.024776727153145873,0.07822377941960545,0.03773374448394527,0.0052149186279735315,0.026054544384196597,0.09216238860537741,0.041026576959776746,0.004608119430269049,0.026838393276276264,0.02937517454997842,0.018907536421736874,0.005875034909995567,0.01549242135730064,0.046868256023561074,0.024538623164294553,0.00468682560235595,0.017801458139640822,0.05994363622515043,0.027996261052180102,0.003996242415009932,0.018829006432784446,0.07027699494757153,0.030431467280199,0.003513849747378506,0.01940570368784321
0.01,0.04379617640338183,0.028866133165992194,0.008759235280676085,0.023972376672506332,0.06646863178206007,0.036145938590634315,0.006646863178205779,0.02694638590365614,0.08332698606139081,0.04060698116327877,0.005555132404092535,0.028273839942664834,0.09655470078960063,0.04372815367218167,0.00482773503948026,0.029014967458689863,0.03397059943636225,0.022119182669682026,0.006794119887272282,0.01824290586572568,0.05194607357757636,0.02790957254706083,0.005194607357757449,0.020619395006248625,0.06453906111153426,0.03124135767255445,0.00430260407410217,0.021610425877697025,0.07568487064259781,0.03387330761826919,0.0037842435321298815,0.022236397024496563
0.1,0.03386904308528194,0.022373671786251447,0.006773808617056222,0.018613163395705932,0.05123517912001422,0.027983718735841975,0.0051235179120012395,0.020925091713042104,0.06479295198923503,0.03156463988949559,0.004319530132615553,0.02198696135210736,0.07484703074618529,0.033940025800251815,0.003742351537309246,0.02255250415556337,0.028181887424784828,0.01914155362550524,0.005636377484956863,0.016187236059275068,0.04262827836595831,0.02377332155971838,0.0042628278365956975,0.018075841638184546,0.053799476984791934,0.026725436973693555,0.003586631798986056,0.018951982448821552,0.062380988651077766,0.02874867377371546,0.0031190494325537654,0.01943159209862773
1,0.028867392794576893,0.019305957672768763,0.005773478558915267,0.016174964666852865,0.04333917282352045,0.023948293352464074,0.004333917282351908,0.018069383540858935,0.054383426003503696,0.026875362667415182,0.0036255617335668373,0.018942808742108068,0.06260949044100846,0.028817305721276273,0.003130474522050299,0.019404384453874313,0.02404346611826237,0.0164338665352199,0.004808693223652418,0.013936070276994922,0.03546855561479676,0.02011624636554265,0.0035468555614795835,0.015448977807116281,0.04364384187676137,0.022283454440166463,0.002909589458450723,0.016095995839312167,0.05062584101353238,0.023929987055845165,0.00253129205067653,0.01648651114512851
10,0.027064767562901465,0.018157972600966722,0.005412953512580202,0.015245724054468045,0.041308045801914335,0.022757189209118015,0.004130804580191308,0.01713925632540913,0.051489069997714985,0.025446663811054617,0.0034326046665142675,0.01793700293776467,0.05910579632873791,0.02724443253445971,0.0029552898164367817,0.018364132963230834,0.021606113692335033,0.014800941711252801,0.004321222738466978,0.0125714068093533,0.03325970497880011,0.01856924412766299,0.003325970497879931,0.01412626678450428,0.04135882397745449,0.02070797517942516,0.002757254931830273,0.014760154862219002,0.047629928656663365,0.022187471661469338,0.0023814964328330874,0.015111343392492881
