omega,valid_HR@5,valid_NDCG@5,valid_Precision@5,valid_MAP@5,valid_HR@10,valid_NDCG@10,valid_Precision@10,valid_MAP@10,valid_HR@15,valid_NDCG@15,valid_Precision@15,valid_MAP@15,valid_HR@20,valid_NDCG@20,valid_Precision@20,valid_MAP@20,test_HR@5,test_NDCG@5,test_Precision@5,test_MAP@5,test_HR@10,test_NDCG@10,test_Precision@10,test_MAP@10,test_HR@15,test_NDCG@15,test_Precision@15,test_MAP@15,test_HR@20,test_NDCG@20,test_Precision@20,test_MAP@20
0,0.0104156380098023,0.00602512973005147,0.00208312760196039,0.00459608218167082,0.0199529113371413,0.00912837676425609,0.00199529113371423,0.00588706253054,0.0263821250188407,0.0108176689271337,0.0017588083345893,0.00638325886671806,0.0320369225012084,0.0121523977108109,0.00160184612506061,0.00670042640156991,0.00838864258873302,0.00461653276568547,0.00167772851774655,0.00339591032017867,0.0174581477419791,0.00757384942790609,0.00174581477419795,0.0046296983786264,0.0235911082467529,0.00918093296872241,0.00157274054978346,0.00509936145776028,0.0286274122544867,0.010368341551581,0.00143137061272448,0.00538085156770482
0.001,0.0274320046984714,0.0180170391822526,0.00548640093969482,0.0149323728493492,0.0415482087077644,0.0225529065122032,0.00415482087077703,0.0167874717163191,0.052213323077083,0.0253718593560779,0.00348088820513939,0.0176245008673555,0.0615634891347848,0.0275801788664347,0.00307817445673929,0.018149925362057,0.0234040009771157,0.0153597165575971,0.0046808001954235,0.0127237274540071,0.0357790678939518,0.0193419760998756,0.00357790678939563,0.0143557475137544,0.0453111437971341,0.0218601950894326,0.0030207429198091,0.0151028197755638,0.0536322198718315,0.0238253950759523,0.00268161099359198,0.0155703539806445
0.01,0.0368445398460523,0.0249941835047358,0.00736890796921142,0.0211063930049601,0.0545417690992344,0.0306835288030272,0.00545417690992418,0.0234349710251855,0.068398101900698,0.0343416343221278,0.00455987346004792,0.0245188911503881,0.0792295338430274,0.0368992294841878,0.00396147669215061,0.0251271485868916,0.0329516691527679,0.0223565016661827,0.00659033383055436,0.0188830215745077,0.0483048601113288,0.0272882520006233,0.00483048601113362,0.020898896157858,0.0603576867304564,0.030475297693317,0.00402384578203139,0.0218459686934708,0.0701340415689984,0.0327837522012796,0.00350670207844958,0.022394985685617
0.1,0.0411480070477072,0.0282899429857126,0.00822960140954259,0.0240787998801124,0.0595312962895589,0.0342005587829995,0.00595312962895617,0.0264981059513888,0.0734551956050581,0.0378786814385213,0.00489701304033886,0.0275890885504552,0.0848895287495517,0.040577810969028,0.00424447643747657,0.0282305967627763,0.0379983680088148,0.026315589389781,0.00759967360176398,0.0224791193484508,0.0550199321216405,0.031796150451584,0.00550199321216474,0.0247273002293714,0.0672026943446828,0.0350198860045094,0.00448017962298017,0.0256865288183661,0.0772129332702713,0.0373840517355064,0.0038606466635129,0.0262489736293695
1,0.0405087238764468,0.0277804350266243,0.0081017447752905,0.0236034954409925,0.0581227943431236,0.0334471912945577,0.00581227943431276,0.0259255684311426,0.0716516894227221,0.0370217427423041,0.0047767792948497,0.0269862380879353,0.0828469410560127,0.0396663190431948,0.00414234705279971,0.0276156716979141,0.0378216555874908,0.0263542100911718,0.00756433111749918,0.0225919034526487,0.0549575630317615,0.0318881651480595,0.00549575630317684,0.0248716793100196,0.0669999948025759,0.0350692293410758,0.00446666632017304,0.0258152336758172,0.0771713538770186,0.0374695288639349,0.00385856769385027,0.0263853637062338
10,0.0402748397894004,0.0278078074530632,0.00805496795788119,0.0237164527926623,0.0578785154077639,0.0334651237296042,0.00578785154077682,0.0260307564586863,0.0709448397374261,0.0369187961732043,0.0047296559824966,0.027056338742876,0.0824831213650515,0.0396436195618066,0.00412415606825167,0.027704516088915,0.0369796728741236,0.0255777777197965,0.00739593457482569,0.0218321266646916,0.0534710997229773,0.0308735276167894,0.00534710997229856,0.0239961752733124,0.0659449176987885,0.034170253464406,0.00439632784658716,0.024975022104874,0.0754562039053445,0.036415872778286,0.00377281019526664,0.0255089402624932
