omega,valid_HR@5,valid_NDCG@5,valid_Precision@5,valid_MAP@5,valid_HR@10,valid_NDCG@10,valid_Precision@10,valid_MAP@10,valid_HR@15,valid_NDCG@15,valid_Precision@15,valid_MAP@15,valid_HR@20,valid_NDCG@20,valid_Precision@20,valid_MAP@20,test_HR@5,test_NDCG@5,test_Precision@5,test_MAP@5,test_HR@10,test_NDCG@10,test_Precision@10,test_MAP@10,test_HR@15,test_NDCG@15,test_Precision@15,test_MAP@15,test_HR@20,test_NDCG@20,test_Precision@20,test_MAP@20
0,0.011002946939496785,0.0063421199785013435,0.0022005893878992767,0.004824249102145041,0.018419671210947855,0.008731958274182498,0.0018419671210948483,0.005805619718994269,0.02424078626632641,0.01027275968301841,0.001616052417755029,0.0062643592075305905,0.02986439920375462,0.011598826484786664,0.0014932199601878924,0.006578822834761046,0.00829508895391444,0.004615661785312577,0.0016590177907828383,0.003419731847563029,0.014105809160979818,0.00648502233855481,0.0014105809160979467,0.004185634171133375,0.01915250801702676,0.007814192647947745,0.0012768338678017382,0.004577769958507324,0.02449546004999922,0.009074078243429182,0.0012247730025000615,0.004876526775949513
0.001,0.06821099463106084,0.04851624332513898,0.013642198926211149,0.04204231049758195,0.0946398964673108,0.05702591277716236,0.009463989646728167,0.04553286343669037,0.11277370934964631,0.061822757015888734,0.007518247289976416,0.04695936191858807,0.127019848962854,0.06519083945831576,0.006350992448139772,0.04776241772186232,0.03587781895292693,0.025100350498422054,0.007175563790586305,0.02156645166655407,0.05135055066708939,0.030073066795562285,0.00513505506670975,0.023600775043190244,0.062046849581347485,0.03289983727989858,0.004136456638757549,0.024439948845622946,0.07104878822055789,0.03502366929667683,0.0035524394110275103,0.02494413716046882
0.01,0.05858016766890329,0.041968710631230886,0.01171603353378139,0.03650254933654737,0.0817398897106594,0.04942090075042536,0.0081739889710642,0.039556609395177,0.09874066412685872,0.053917374054272715,0.006582710941791428,0.04089341908008783,0.11170823739754578,0.056978619854879446,0.005585411869875056,0.041621062931759704,0.03302443309096012,0.023380764662892503,0.006604886618192813,0.020216334118144396,0.04722899331091511,0.027950297682998785,0.004722899331092228,0.022088252427176595,0.05807082010155767,0.0308181362440985,0.00387138800677135,0.022941026848449984,0.06695841540932314,0.032918754698357755,0.0033479207704659587,0.023441605595128697
0.1,0.03474478048679075,0.023289047642693846,0.006948956097359017,0.019536770909670518,0.05162081672323197,0.028728525875310943,0.005162081672324014,0.02177110436765971,0.06418299090970515,0.03204988336324237,0.004278866060648173,0.02275796125541155,0.07490527694474618,0.03457866184713953,0.00374526384723675,0.023357842449304167,0.022562018263748488,0.014979337582956529,0.004512403652750011,0.012500757957689491,0.03470320109353804,0.0188728490072568,0.003470320109354237,0.014088564850117393,0.04391823412316856,0.021306959414352865,0.0029278822748779916,0.01481055941056548,0.051906675051844306,0.023194893286538867,0.002595333752592627,0.015260361920158333
1,0.02944340784707099,0.019778563984602062,0.005888681569414825,0.016614692425100826,0.04362198094624304,0.024333470976389878,0.00436219809462494,0.018477092435528763,0.05396485501785315,0.027069231581275756,0.0035976570011908306,0.019290514844508114,0.06326304683398908,0.029266594213067532,0.0031631523416994238,0.01981396674957348,0.02162128449140606,0.014471954815047301,0.004324256898281483,0.012130268239060691,0.03260863915843308,0.018007059311720156,0.003260863915843693,0.013578978036262977,0.041054453412888575,0.02023949020205989,0.002736963560859174,0.014241905852873285,0.048460782836026464,0.02198884737551516,0.002423039141801696,0.014658197290814707
10,0.027639901664734956,0.01869142902339414,0.005527980332947536,0.015758156924095084,0.04115320447186374,0.02302169529551432,0.004115320447186954,0.01752213380826248,0.051485683695160676,0.025757060349480696,0.003432378913011201,0.01833672490211091,0.060118605219253336,0.02779466416975447,0.00300593026096278,0.018820864180091174,0.01962027619111968,0.01301469178842438,0.003924055238224117,0.010852914628843264,0.030098283290801078,0.01637395308368284,0.003009828329080436,0.012222499830671137,0.03862205890760539,0.01862751512976907,0.0025748039271735732,0.012892013301180354,0.0455034484909279,0.020251727773742678,0.002275172424546734,0.013277932213486042
