omega,valid_HR@5,valid_NDCG@5,valid_Precision@5,valid_MAP@5,valid_HR@10,valid_NDCG@10,valid_Precision@10,valid_MAP@10,valid_HR@15,valid_NDCG@15,valid_Precision@15,valid_MAP@15,valid_HR@20,valid_NDCG@20,valid_Precision@20,valid_MAP@20,test_HR@5,test_NDCG@5,test_Precision@5,test_MAP@5,test_HR@10,test_NDCG@10,test_Precision@10,test_MAP@10,test_HR@15,test_NDCG@15,test_Precision@15,test_MAP@15,test_HR@20,test_NDCG@20,test_Precision@20,test_MAP@20
0.001,0.18333761892517356,0.15526990771121615,0.036667523785036,0.14589011742521663,0.2046284391874518,0.1621408683885375,0.02046284391874631,0.14871766929108185,0.21599382874775006,0.16514330156194337,0.014399588583182785,0.14960833600843895,0.22355361275392133,0.16692966483082852,0.011177680637696846,0.15003383490838199,0.09066598097197223,0.07665484638790337,0.018133196194393856,0.0719868003771321,0.10300848547184366,0.08067896139500111,0.010300848547184,0.07366667074818264,0.10953972743635897,0.08240998467039638,0.0073026484957571134,0.07418323312640611,0.11442530213422474,0.0835603446617724,0.005721265106711022,0.0744551731673938
0.01,0.1367446644381589,0.10920630424862621,0.027348932887630954,0.1000582840490269,0.16112111082540498,0.11711048794922556,0.01611211108254064,0.10333202724820065,0.17521213679609154,0.12083283459065236,0.011680809119739037,0.10443619778410154,0.1868346618668038,0.12357160288059041,0.009341733093340554,0.10508473763563861,0.06798662895345847,0.05418237980714727,0.013597325790691363,0.049612582497643117,0.08218050912831062,0.058782752602086465,0.008218050912830815,0.0515179158146503,0.09256878374903574,0.061528361520120506,0.006171252249935629,0.05233316895955128,0.10043713036770378,0.06338810026025453,0.005021856518385014,0.05277641281910302
0.1,0.03594754435587555,0.026473445933197084,0.0071895088711751405,0.023362475357846878,0.04710722550784263,0.030071340008352758,0.004710722550784216,0.02484102495030753,0.05487271792234508,0.032120144041327764,0.003658181194823061,0.025447231977188216,0.062278220622267934,0.03386253873292736,0.00311391103111333,0.02585845043596199,0.01979943430187709,0.014372141551569467,0.003959886860375446,0.012590211708236914,0.02761635381846233,0.016890683898899563,0.0027616353818462583,0.013624427057186111,0.03311905374132167,0.018348833750651296,0.002207936916088135,0.014059430469818742,0.037181794805862686,0.019304828913528086,0.0018590897402931388,0.014285128134538277
1,0.013885317562355361,0.008665291507737441,0.002777063512471084,0.006950372846490097,0.019696580097711493,0.01052693276869663,0.0019696580097711635,0.007708738933989642,0.02715350989971715,0.012501225931371767,0.0018102339933144802,0.008296649352190627,0.03317048084340447,0.013922721701501422,0.0016585240421702395,0.00863505542869106,0.00802262792491643,0.004722192241845533,0.0016045255849832822,0.003633324762149657,0.013113911031113397,0.006334021486987405,0.0013113911031113444,0.004278081850722635,0.020365132424787862,0.008243650496738633,0.0013576754949858538,0.0048412839695945896,0.026896374389303163,0.009784235309217215,0.0013448187194651704,0.005206804928173132
