omega,valid_HR@5,valid_NDCG@5,valid_Precision@5,valid_MAP@5,valid_HR@10,valid_NDCG@10,valid_Precision@10,valid_MAP@10,valid_HR@15,valid_NDCG@15,valid_Precision@15,valid_MAP@15,valid_HR@20,valid_NDCG@20,valid_Precision@20,valid_MAP@20,test_HR@5,test_NDCG@5,test_Precision@5,test_MAP@5,test_HR@10,test_NDCG@10,test_Precision@10,test_MAP@10,test_HR@15,test_NDCG@15,test_Precision@15,test_MAP@15,test_HR@20,test_NDCG@20,test_Precision@20,test_MAP@20
0.01,0.031884803291334536,0.021458943798868826,0.00637696065826697,0.01804319876574951,0.05168423759321162,0.02784082744266954,0.005168423759321089,0.02066494018538246,0.06592954487014657,0.03160006599773099,0.004395302991343118,0.02177803125990317,0.07636924659295449,0.03406087357890169,0.0038184623296476177,0.022361184655874257,0.02324505014142453,0.015719993106816373,0.004649010028284944,0.01325704979857719,0.036153252764206736,0.019869139856602738,0.003615325276420688,0.014955286991800217,0.046181537670352275,0.022511883519441438,0.0030787691780235515,0.015735924028544228,0.05538698894317305,0.02468664072490083,0.0027693494471586052,0.016253725023703758
0.1,0.031781949087168936,0.021303932445932615,0.00635638981743385,0.01788206051255674,0.048290048855746975,0.02663068239651747,0.004829004885574644,0.02007383462513313,0.06176394960143996,0.030217173191909877,0.004117596640096027,0.021152667509057255,0.07292363075340705,0.032843253943780855,0.003646181537670255,0.021772621711161854,0.022010799691437388,0.014837269629397222,0.004402159938287512,0.01249678580611982,0.03491900231421959,0.018974104272593113,0.003491900231421981,0.014183023342190203,0.04484443301619954,0.021590781844067135,0.002989628867746698,0.014956368450840004,0.053998457186937514,0.023756192918163842,0.0026999228593468324,0.015473285791459093
1,0.0303934173309334,0.0210920429759806,0.006078683466186739,0.018043198765749516,0.04967858061198251,0.0273122368654324,0.004967858061198189,0.02060155424130738,0.06258678323476471,0.03072967691943061,0.0041724522156510084,0.02161910958388197,0.07338647467215223,0.033282459991396916,0.003669323733607513,0.022227547087171336,0.022267935201851375,0.015282020027472335,0.0044535870403703106,0.012997342933059056,0.03527899202879918,0.01940526487162266,0.003527899202879937,0.014650377336157726,0.04602725636410388,0.02224032828753107,0.0030684837576069914,0.015488923379126496,0.05471843661609668,0.024294779778657953,0.0027359218308047888,0.01597860929964375
1,0.04139881717665209,0.028566068244361,0.008279763435330389,0.024357589783148965,0.06294677294934431,0.03552601376687617,0.0062946772949342925,0.027225364989571732,0.08115196708665466,0.04033703071846018,0.005410131139110267,0.028653313915592084,0.09601439958858318,0.043852749499135105,0.004800719979428996,0.029492551326146345,0.033633324762149655,0.022622777488703415,0.006726664952429988,0.01902202794205876,0.04890717408074055,0.02754404524458124,0.004890717408073997,0.02104225593554467,0.06171252249935716,0.030921961962961007,0.004114168166623841,0.022041745003946008,0.07282077654924145,0.033541298194253645,0.0036410388274619758,0.022662851318201664
