omega,scenario,valid_HR@5,valid_NDCG@5,valid_Precision@5,valid_MAP@5,valid_HR@10,valid_NDCG@10,valid_Precision@10,valid_MAP@10,valid_HR@15,valid_NDCG@15,valid_Precision@15,valid_MAP@15,valid_HR@20,valid_NDCG@20,valid_Precision@20,valid_MAP@20,test_HR@5,test_NDCG@5,test_Precision@5,test_MAP@5,test_HR@10,test_NDCG@10,test_Precision@10,test_MAP@10,test_HR@15,test_NDCG@15,test_Precision@15,test_MAP@15,test_HR@20,test_NDCG@20,test_Precision@20,test_MAP@20
0.1,BaseCase,0.0273186584406022,0.0185870231815438,0.00546373168812035,0.0157204999957685,0.0417142712062356,0.0231986914615294,0.00417142712062343,0.017597650260077,0.0519206844898063,0.0258992664224393,0.00346137896598702,0.0184011041330716,0.060146748927311,0.0278442535798636,0.00300733744636544,0.0188649465873102,0.0220123390966563,0.0148568074834175,0.00440246781933122,0.0125045488782254,0.0336405412953513,0.0185943743408189,0.00336405412953504,0.0140336469893176,0.0422474420494072,0.0208702875457352,0.00281649613662711,0.0147099186953708,0.0493056084494884,0.0225380189465868,0.00246528042247434,0.015107137829548
0.1,RegWeightOnly,0.0341991012262929,0.0225897084660453,0.00683982024525842,0.018782000829377,0.0507527864523828,0.0279327059169376,0.0050752786452381,0.0209812701072508,0.0636250539518115,0.0313371654984825,0.00424167026345399,0.0219934014834618,0.0744408053418641,0.0338941718453597,0.00372204026709318,0.0226030543334078,0.0291466727600477,0.0197492575852361,0.00582933455200943,0.0166700518783694,0.0431360601213598,0.024266361026357,0.00431360601213585,0.01853024585906,0.0536217533704014,0.0270366170327455,0.00357478355802669,0.0193522439961621,0.0629903267575596,0.0292454046637226,0.00314951633787786,0.0198758897828762
0.1,UIGraphOnly,0.0353162210881763,0.0231884311918782,0.00706324421763508,0.0192186931390223,0.055475156777617,0.0296905893115389,0.00554751567776149,0.0218926980580572,0.0692106532612283,0.0333202257230042,0.00461404355074842,0.02297002308237,0.0803564627922919,0.0359512397970871,0.00401782313961464,0.0235953117937221,0.0304161271485516,0.0200735401831898,0.00608322542971018,0.0166797843620146,0.048518546728616,0.0259075726693155,0.00485185467286144,0.0190755873443055,0.0604260288927819,0.0290605216865505,0.00402840192618536,0.0200149265234192,0.0702769949475715,0.0313890793577783,0.00351384974737851,0.0205699547335604
0.1,RegWeightOn_mmImage0,0.0351131083860157,0.0231113563340299,0.00702262167720296,0.0191806095073672,0.0535709751948613,0.0290323885918859,0.00535709751948593,0.0215958069317046,0.0674588062050931,0.0327091712868228,0.00449725374700608,0.0226910915862856,0.0793155101937187,0.0355060459755671,0.00396577550968597,0.0233548008347145,0.0314824688348948,0.021117555358724,0.00629649376697881,0.0177351241103241,0.0463096960926194,0.0258816171936197,0.00463096960926179,0.0196833033701798,0.0581664000812451,0.0290115133910966,0.00387776000541625,0.0206104371025539,0.0680427552238048,0.0313417488821991,0.00340213776119014,0.0211636135337702
0.1,RegWeightOn_mmImage1,0.0354685556147968,0.0235854151987997,0.00709371112295917,0.0197070099271334,0.0546880950567446,0.029806415089278,0.00546880950567426,0.0222773225877042,0.0684997588036662,0.0334522457538196,0.00456665058691095,0.0233574629853861,0.0797979028613502,0.0361150047968874,0.00398989514306755,0.0239881808304448,0.0307969634651027,0.0205616283862515,0.00615939269302041,0.0172070310847065,0.0468936451113312,0.0257421688130186,0.00468936451113296,0.0193307275263251,0.0579378982913144,0.0286601447812258,0.0038625265527542,0.0201964878101675,0.0680173661360347,0.0310412195986339,0.00340086830680164,0.020763216005415
