omega,valid_HR@5,valid_NDCG@5,valid_Precision@5,valid_MAP@5,valid_HR@10,valid_NDCG@10,valid_Precision@10,valid_MAP@10,valid_HR@15,valid_NDCG@15,valid_Precision@15,valid_MAP@15,valid_HR@20,valid_NDCG@20,valid_Precision@20,valid_MAP@20,test_HR@5,test_NDCG@5,test_Precision@5,test_MAP@5,test_HR@10,test_NDCG@10,test_Precision@10,test_MAP@10,test_HR@15,test_NDCG@15,test_Precision@15,test_MAP@15,test_HR@20,test_NDCG@20,test_Precision@20,test_MAP@20
0,0.021290820262278222,0.013788260881073554,0.004258164052455677,0.01133881889088883,0.03414759578297763,0.017915958600975727,0.003414759578297789,0.013024913573897868,0.04453587040370275,0.020665978040134425,0.002969058026913578,0.013843773294788982,0.05466700951401388,0.023052702840778174,0.002733350475700649,0.014408695898061805,0.015788120339418874,0.010432907234971272,0.003157624067883792,0.008679180594840151,0.027462072512213935,0.01419693622324266,0.0027462072512214187,0.010226115988522768,0.036873232193365905,0.016676680789575956,0.0024582154795577626,0.010958142169250423,0.045152995628696325,0.018622379750985896,0.002257649781434798,0.011416230363634615
0.001,0.22010799691437388,0.1682347790070656,0.04402159938287774,0.1510242564498158,0.265312419645153,0.18285031525531306,0.026531241964517806,0.15705577799817988,0.29220879403445615,0.1899640848468098,0.0194805862689629,0.15917040546379668,0.3105682694780149,0.19430778860333153,0.015528413473902514,0.16020777984929643,0.1304705579840576,0.10186490820603325,0.02609411159681048,0.0923802177080654,0.160863975314991,0.11165342895305784,0.016086397531499236,0.09639647030492968,0.1781949087168938,0.11623719138900657,0.011879660581125842,0.09775932104808377,0.19038313191051684,0.11911024836321288,0.009519156595526245,0.09844003313388605
0.01,0.1717150938544613,0.12260726992164228,0.034343018770893026,0.1064386731807661,0.22561069683723323,0.14001882258615117,0.02256106968372493,0.11361461101111356,0.26001542813062484,0.14912650939394848,0.01733436187537427,0.11632688887638667,0.28572897917202367,0.155202686961041,0.014286448958602668,0.11777406291997648,0.10377989200308563,0.07591967868024731,0.020755978400616385,0.0667258078340621,0.13556184109025457,0.08615063885082416,0.013556184109025015,0.07092027982873952,0.15772692208794034,0.09199313638184094,0.01051512813919569,0.07264634582582638,0.1741321676523528,0.09586927600148122,0.008706608382617859,0.07356947270154665
0.1,0.051221393674466445,0.033874934780943375,0.010244278734893147,0.028200051427102003,0.07714065312419645,0.04225670040185102,0.007714065312419427,0.031660646430510184,0.09925430701979944,0.04811148126450071,0.006616953801319851,0.033404425921782666,0.11648238621753665,0.05218232817666337,0.005824119310876612,0.034373863062145585,0.03106196965800977,0.020935896744267463,0.006212393931602014,0.01761549670009425,0.04983286191823091,0.026980129429925146,0.004983286191823027,0.020093874868881277,0.06628953458472615,0.03132083895963308,0.004419302305648422,0.02137795206707516,0.0781177680637696,0.03411436788313424,0.0039058884031883687,0.02204262215213156
0.2,0.0391874517870918,0.026428083122259746,0.007837490357418354,0.02224993571612234,0.06027256364103883,0.033228876214882706,0.00602725636410376,0.02504510075222339,0.07719208022627926,0.037684535600053526,0.005146138681751921,0.026359463084842265,0.09308305476986371,0.04143649676095958,0.004654152738493031,0.027251506151634738,0.024273592183080485,0.01570017145600362,0.004854718436616138,0.012902202794205873,0.04109025456415531,0.021088559127159283,0.004109025456415517,0.015098140053141317,0.052661352532784776,0.024141704413500345,0.0035107568355190496,0.016001853636206907,0.062278220622267934,0.02640924523765998,0.00311391103111333,0.01653944995256158
0.3,0.03584469015170995,0.023968575976972075,0.007168938030342023,0.020087426073540703,0.05492414502442787,0.03009562507725331,0.005492414502442695,0.02259137494030781,0.07076369246592955,0.034259368848789225,0.004717579497728632,0.02381532198837411,0.08382617639496015,0.03734192050358295,0.004191308819747879,0.024547437072569383,0.02262792491643096,0.014616599985428455,0.0045255849832862285,0.01200222850775692,0.03666752378503471,0.019112077479412685,0.003666752378503483,0.013831135436946682,0.04767292363075341,0.022008139970878596,0.0031781949087169655,0.014684154878292156,0.05708408331190538,0.024218177439350036,0.0028542041655952163,0.01520369974224695
0.4,0.03594754435587555,0.023899647123196286,0.0071895088711751405,0.01995542984486153,0.05487271792234508,0.029965234943226258,0.005487271792234415,0.022427093919765564,0.06932373360761121,0.03377822412337002,0.004621582240507415,0.023555718445150142,0.08228336333247621,0.03683296427284034,0.004114168166623688,0.024279489893343144,0.02329647724350733,0.015530808217282163,0.004659295448701504,0.012990485986114682,0.037541784520442274,0.02004949228964823,0.003754178452044234,0.014804148452901325,0.047775777834919,0.022743891448017722,0.0031850518556613386,0.015598456570428772,0.057341218822319365,0.025002959360219113,0.002867060941115915,0.01613597880663556
0.5,0.034713293905888405,0.02352640841920435,0.006942658781177726,0.019875717836633194,0.0542555926973515,0.029837043262714233,0.005425559269735062,0.02247470480435255,0.069375160709694,0.033813417590518494,0.004625010713979602,0.02364475700294673,0.082849061455387,0.03699977447960773,0.004142453072769225,0.02440492148475761,0.02324505014142453,0.015423815578025728,0.004649010028284944,0.01286620382274792,0.03605039856004114,0.01953704487411177,0.003605039856004129,0.014547339463770412,0.04741578812033942,0.02252987035239346,0.0031610525413560317,0.015429973586311941,0.055592697351504246,0.02446694949380894,0.002779634867575164,0.015893758875772487
0.6,0.0348675752121368,0.023159417364775548,0.006973515042427403,0.019326304962715292,0.053329904859861145,0.029095548443658695,0.005332990485986032,0.021756929393854013,0.06798662895345847,0.03296182240199662,0.004532441930230571,0.022900892142342297,0.08058626896374389,0.03593140743251133,0.004029313448187076,0.023604324941210574,0.02211365389560298,0.014982934269487734,0.0044227307791206314,0.012651067112368223,0.03455901259964001,0.019001668022382855,0.0034559012599640246,0.014306754500891786,0.04602725636410388,0.022035953096361763,0.0030684837576069914,0.01520931041759015,0.05528413473900746,0.02421173656545977,0.002764206736950326,0.01572178206479564
0.7,0.03455901259964001,0.023318605684701007,0.006911802519928049,0.019641724522156463,0.05286706094111597,0.029199234647819438,0.005286706094111516,0.022046553771933045,0.06654667009514013,0.03280687523147308,0.004436444673009354,0.02311323287152547,0.07950629982000515,0.03586381248459672,0.003975314991000142,0.02383866437843596,0.020930830547698637,0.013982111286452641,0.004186166109539759,0.011703951315676697,0.03347904345590126,0.018031826882183855,0.0033479043455901555,0.013371005726366982,0.04381589097454359,0.020770726999461007,0.002921059398302964,0.014187725648255357,0.05327847775777835,0.023000646455660294,0.002663923887888876,0.01471583506184753
